Year,IsNDRanked,IsOppRanked,OppConf,Result,,,,,,Win,Lose,,
2022,1,1,Big Ten,0,,,,,P(Result),0.672043011,0.327956989,122,372
2022,1,0,Sun Belt,0,,,,,P(Big Ten|Result),0.184,0.278688525,,
2022,0,0,Pac-12,1,,,,,P(IsNDRanked|Result),0.708,0.524590164,,
2022,0,0,ACC,1,,,,,P(IsOppRanked|Result),0.216,0.549180328,,
2022,0,1,Ind,1,,,,,,0.018910452,0.026331227,,
2022,0,0,Pac-12,0,,,,,,,,,
2022,0,0,MWC,1,,,,,,,,,
2022,0,1,ACC,1,,,,,,,,,
2022,0,1,ACC,1,,,,,,,,,
2022,1,0,American,1,,,,,,,,,
2022,1,0,ACC,1,,,,,,,,,
2022,1,1,Pac-12,0,,,,,,,,,
2022,1,1,SEC,1,,,,,,,,,
2021,1,0,ACC,1,,,,,,,,,
2021,1,0,MAC,1,,,,,,,,,
2021,1,0,Big Ten,1,,,,,,,,,
2021,1,1,Big Ten,1,,,,,,,,,
2021,1,1,American,0,,,,,,,,,
2021,1,0,ACC,1,,,,,,,,,
2021,1,0,Pac-12,1,,,,,,,,,
2021,1,0,ACC,1,,,,,,,,,
2021,1,0,American,1,,,,,,,,,
2021,1,0,ACC,1,,,,,,,,,
2021,1,0,ACC,1,,,,,,,,,
2021,1,0,Pac-12,1,,,,,,,,,
2021,1,1,Big 12,0,,,,,,,,,
2020,1,0,ACC,1,,,,,,,,,
2020,1,0,American,1,,,,,,,,,
2020,1,0,ACC,1,,,,,,,,,
2020,1,0,ACC,1,,,,,,,,,
2020,1,0,ACC,1,,,,,,,,,
2020,1,0,ACC,1,,,,,,,,,
2020,1,1,ACC,1,,,,,,,,,
2020,1,0,ACC,1,,,,,,,,,
2020,1,1,ACC,1,,,,,,,,,
2020,1,0,ACC,1,,,,,,,,,
2020,1,1,ACC,0,,,,,,,,,
2021,1,1,SEC,0,,,,,,,,,
2019,1,0,ACC,1,,,,,,,,,
2019,1,0,MWC,1,,,,,,,,,
2019,1,1,SEC,0,,,,,,,,,
2019,1,1,ACC,1,,,,,,,,,
2019,1,0,MAC,1,,,,,,,,,
2019,1,0,Pac-12,1,,,,,,,,,
2019,1,1,Big Ten,0,,,,,,,,,
2019,1,0,ACC,1,,,,,,,,,
2019,1,0,ACC,1,,,,,,,,,
2019,1,1,American,1,,,,,,,,,
2019,1,0,ACC,1,,,,,,,,,
2019,1,0,Pac-12,1,,,,,,,,,
2019,1,0,Big 12,1,,,,,,,,,
2018,1,1,Big Ten,1,,,,,,,,,
2018,1,0,MAC,1,,,,,,,,,
2018,1,0,SEC,1,,,,,,,,,
2018,1,0,ACC,1,,,,,,,,,
2018,1,1,Pac-12,1,,,,,,,,,
2018,1,1,ACC,1,,,,,,,,,
2018,1,0,ACC,1,,,,,,,,,
2018,1,0,American,1,,,,,,,,,
2018,1,0,Big Ten,1,,,,,,,,,
2018,1,0,ACC,1,,,,,,,,,
2018,1,1,ACC,1,,,,,,,,,
2018,1,0,Pac-12,1,,,,,,,,,
2018,1,1,ACC,0,,,,,,,,,
2017,0,0,American,1,,,,,,,,,
2017,1,1,SEC,0,,,,,,,,,
2017,0,0,ACC,1,,,,,,,,,
2017,0,0,Big Ten,1,,,,,,,,,
2017,1,0,MAC,1,,,,,,,,,
2017,1,0,ACC,1,,,,,,,,,
2017,1,1,Pac-12,1,,,,,,,,,
2017,1,1,ACC,1,,,,,,,,,
2017,1,0,ACC,1,,,,,,,,,
2017,1,1,ACC,0,,,,,,,,,
2017,1,0,American,1,,,,,,,,,
2017,1,1,Pac-12,0,,,,,,,,,
2018,1,1,SEC,1,,,,,,,,,
2016,1,0,Big 12,0,,,,,,,,,
2016,1,0,MWC,1,,,,,,,,,
2016,1,1,Big Ten,0,,,,,,,,,
2016,0,0,ACC,0,,,,,,,,,
2016,0,0,ACC,1,,,,,,,,,
2016,0,0,ACC,0,,,,,,,,,
2016,0,0,Pac-12,0,,,,,,,,,
2016,0,0,ACC,1,,,,,,,,,
2016,0,0,American,0,,,,,,,,,
2016,0,0,Ind,1,,,,,,,,,
2016,0,0,ACC,0,,,,,,,,,
2016,0,1,Pac-12,0,,,,,,,,,
2015,1,0,Big 12,1,,,,,,,,,
2015,1,0,ACC,1,,,,,,,,,
2015,1,1,ACC,1,,,,,,,,,
2015,1,0,MAC,1,,,,,,,,,
2015,1,1,ACC,0,,,,,,,,,
2015,1,0,American,1,,,,,,,,,
2015,1,0,Pac-12,1,,,,,,,,,
2015,1,1,American,1,,,,,,,,,
2015,1,0,ACC,1,,,,,,,,,
2015,1,0,ACC,1,,,,,,,,,
2015,1,0,ACC,1,,,,,,,,,
2015,1,1,Pac-12,0,,,,,,,,,
2016,1,1,Big Ten,0,,,,,,,,,
2014,1,0,CUSA,1,,,,,,,,,
2014,1,0,Big Ten,1,,,,,,,,,
2014,1,0,Big Ten,1,,,,,,,,,
2014,1,0,ACC,1,,,,,,,,,
2014,1,1,Pac-12,1,,,,,,,,,
2014,1,0,ACC,1,,,,,,,,,
2014,1,1,ACC,0,,,,,,,,,
2014,1,0,Ind,1,,,,,,,,,
2014,1,1,Pac-12,0,,,,,,,,,
2014,1,0,Big Ten,0,,,,,,,,,
2014,0,0,ACC,0,,,,,,,,,
2014,0,0,Pac-12,0,,,,,,,,,
2014,0,1,SEC,1,,,,,,,,,
2013,1,0,American,1,,,,,,,,,
2013,1,1,Big Ten,0,,,,,,,,,
2013,1,0,Big Ten,1,,,,,,,,,
2013,1,0,Big Ten,1,,,,,,,,,
2013,1,1,Big 12,0,,,,,,,,,
2013,0,1,Pac-12,1,,,,,,,,,
2013,0,0,Pac-12,1,,,,,,,,,
2013,0,0,MWC,1,,,,,,,,,
2013,0,0,Ind,1,,,,,,,,,
2013,1,0,ACC,0,,,,,,,,,
2013,0,0,Ind,1,,,,,,,,,
2013,1,1,Pac-12,0,,,,,,,,,
2013,1,0,American,1,,,,,,,,,
2012,0,0,Ind,1,,,,,,,,,
2012,1,0,Big Ten,1,,,,,,,,,
2012,1,1,Big Ten,1,,,,,,,,,
2012,1,1,Big Ten,1,,,,,,,,,
2012,1,0,ACC,1,,,,,,,,,
2012,1,1,Pac-12,1,,,,,,,,,
2012,1,0,Ind,1,,,,,,,,,
2012,1,1,Big 12,1,,,,,,,,,
2012,1,0,Big East,1,,,,,,,,,
2012,1,0,ACC,1,,,,,,,,,
2012,1,0,ACC,1,,,,,,,,,
2012,1,0,Pac-12,1,,,,,,,,,
2013,1,1,SEC,0,,,,,,,,,
2011,1,0,Big East,0,,,,,,,,,
2011,0,0,Big Ten,0,,,,,,,,,
2011,0,1,Big Ten,1,,,,,,,,,
2011,0,0,Big East,1,,,,,,,,,
2011,0,0,Big Ten,1,,,,,,,,,
2011,0,0,MWC,1,,,,,,,,,
2011,0,0,Pac-12,0,,,,,,,,,
2011,0,0,Ind,1,,,,,,,,,
2011,0,0,ACC,1,,,,,,,,,
2011,0,0,ACC,1,,,,,,,,,
2011,1,0,ACC,1,,,,,,,,,
2011,1,1,Pac-12,0,,,,,,,,,
2011,0,1,ACC,0,,,,,,,,,
2010,0,0,Big Ten,1,,,,,,,,,
2010,0,0,Big Ten,0,,,,,,,,,
2010,0,0,Big Ten,0,,,,,,,,,
2010,0,1,Pac-10,0,,,,,,,,,
2010,0,0,ACC,1,,,,,,,,,
2010,0,0,Big East,1,,,,,,,,,
2010,0,0,MAC,1,,,,,,,,,
2010,0,0,Ind,0,,,,,,,,,
2010,0,0,CUSA,0,,,,,,,,,
2010,0,1,MWC,1,,,,,,,,,
2010,0,0,Ind,1,,,,,,,,,
2010,0,0,Pac-10,1,,,,,,,,,
2010,0,0,ACC,1,,,,,,,,,
2009,1,0,WAC,1,,,,,,,,,
2009,1,0,Big Ten,0,,,,,,,,,
2009,0,0,Big Ten,1,,,,,,,,,
2009,0,0,Big Ten,1,,,,,,,,,
2009,0,0,Pac-10,1,,,,,,,,,
2009,1,1,Pac-10,0,,,,,,,,,
2009,0,0,ACC,1,,,,,,,,,
2009,1,0,Pac-10,1,,,,,,,,,
2009,1,0,Ind,0,,,,,,,,,
2009,0,1,Big East,0,,,,,,,,,
2009,0,0,Big East,0,,,,,,,,,
2009,0,0,Pac-10,0,,,,,,,,,
2008,0,0,MWC,1,,,,,,,,,
2008,0,0,Big Ten,1,,,,,,,,,
2008,0,0,Big Ten,0,,,,,,,,,
2008,0,0,Big Ten,1,,,,,,,,,
2008,0,0,Pac-10,1,,,,,,,,,
2008,0,1,ACC,0,,,,,,,,,
2008,0,0,Pac-10,1,,,,,,,,,
2008,0,0,Big East,0,,,,,,,,,
2008,0,0,ACC,0,,,,,,,,,
2008,0,0,Ind,1,,,,,,,,,
2008,0,0,Big East,0,,,,,,,,,
2008,0,1,Pac-10,0,,,,,,,,,
2008,0,0,WAC,1,,,,,,,,,
2007,0,0,ACC,0,,,,,,,,,
2007,0,1,Big Ten,0,,,,,,,,,
2007,0,0,Big Ten,0,,,,,,,,,
2007,0,0,Big Ten,0,,,,,,,,,
2007,0,0,Big Ten,0,,,,,,,,,
2007,0,0,Pac-10,1,,,,,,,,,
2007,0,1,ACC,0,,,,,,,,,
2007,0,1,Pac-10,0,,,,,,,,,
2007,0,0,Ind,0,,,,,,,,,
2007,0,0,MWC,0,,,,,,,,,
2007,0,0,ACC,1,,,,,,,,,
2007,0,0,Pac-10,1,,,,,,,,,
2006,1,0,ACC,1,,,,,,,,,
2006,1,1,Big Ten,1,,,,,,,,,
2006,1,1,Big Ten,0,,,,,,,,,
2006,1,0,Big Ten,1,,,,,,,,,
2006,1,0,Big Ten,1,,,,,,,,,
2006,1,0,Pac-10,1,,,,,,,,,
2006,1,0,Pac-10,1,,,,,,,,,
2006,1,0,Ind,1,,,,,,,,,
2006,1,0,ACC,1,,,,,,,,,
2006,1,0,MWC,1,,,,,,,,,
2006,1,0,Ind,1,,,,,,,,,
2006,1,1,Pac-10,0,,,,,,,,,
2007,1,1,SEC,0,,,,,,,,,
2005,0,1,Big East,1,,,,,,,,,
2005,1,1,Big Ten,1,,,,,,,,,
2005,1,0,Big Ten,0,,,,,,,,,
2005,1,0,Pac-10,1,,,,,,,,,
2005,1,1,Big Ten,1,,,,,,,,,
2005,1,1,Pac-10,0,,,,,,,,,
2005,1,0,MWC,1,,,,,,,,,
2005,1,0,SEC,1,,,,,,,,,
2005,1,0,Ind,1,,,,,,,,,
2005,1,0,Big East,1,,,,,,,,,
2005,1,0,Pac-10,1,,,,,,,,,
2006,1,1,Big Ten,0,,,,,,,,,
2004,0,0,MWC,0,,,,,,,,,
2004,0,1,Big Ten,1,,,,,,,,,
2004,0,0,Big Ten,1,,,,,,,,,
2004,0,0,Pac-10,1,,,,,,,,,
2004,0,1,Big Ten,0,,,,,,,,,
2004,0,0,Pac-10,1,,,,,,,,,
2004,0,0,Ind,1,,,,,,,,,
2004,1,0,Big East,0,,,,,,,,,
2004,0,1,SEC,1,,,,,,,,,
2004,1,0,Big East,0,,,,,,,,,
2004,0,1,Pac-10,0,,,,,,,,,
2004,0,0,Pac-10,0,,,,,,,,,
2003,1,0,Pac-10,1,,,,,,,,,
2003,1,1,Big Ten,0,,,,,,,,,
2003,0,0,Big Ten,0,,,,,,,,,
2003,0,1,Big Ten,0,,,,,,,,,
2003,0,1,Big East,1,,,,,,,,,
2003,0,1,Pac-10,0,,,,,,,,,
2003,0,0,Big East,0,,,,,,,,,
2003,0,1,ACC,0,,,,,,,,,
2003,0,0,Ind,1,,,,,,,,,
2003,0,0,MWC,1,,,,,,,,,
2003,0,0,Pac-10,1,,,,,,,,,
2003,0,0,Big East,0,,,,,,,,,
2002,0,1,ACC,1,,,,,,,,,
2002,1,0,Big Ten,1,,,,,,,,,
2002,1,1,Big Ten,1,,,,,,,,,
2002,1,0,Big Ten,1,,,,,,,,,
2002,1,0,Pac-10,1,,,,,,,,,
2002,1,0,Big East,1,,,,,,,,,
2002,1,1,MWC,1,,,,,,,,,
2002,1,1,ACC,1,,,,,,,,,
2002,1,0,Big East,0,,,,,,,,,
2002,1,0,Ind,1,,,,,,,,,
2002,1,0,Big East,1,,,,,,,,,
2002,1,1,Pac-10,0,,,,,,,,,
2003,1,1,ACC,0,,,,,,,,,
2001,1,1,Big 12,0,,,,,,,,,
2001,1,0,Big Ten,0,,,,,,,,,
2001,0,0,Big 12,0,,,,,,,,,
2001,0,0,Big East,1,,,,,,,,,
2001,0,0,Big East,1,,,,,,,,,
2001,0,0,Pac-10,1,,,,,,,,,
2001,0,0,Big East,0,,,,,,,,,
2001,0,1,SEC,0,,,,,,,,,
2001,0,0,Ind,1,,,,,,,,,
2001,0,1,Pac-10,0,,,,,,,,,
2001,0,0,Big Ten,1,,,,,,,,,
2000,0,1,Big 12,1,,,,,,,,,
2000,1,1,Big 12,0,,,,,,,,,
2000,1,1,Big Ten,1,,,,,,,,,
2000,1,1,Big Ten,0,,,,,,,,,
2000,1,0,Pac-10,1,,,,,,,,,
2000,1,0,Ind,1,,,,,,,,,
2000,1,0,Big East,1,,,,,,,,,
2000,1,0,MWC,1,,,,,,,,,
2000,1,0,Big East,1,,,,,,,,,
2000,1,0,Big East,1,,,,,,,,,
2000,1,0,Pac-10,1,,,,,,,,,
2001,1,1,Pac-10,0,,,,,,,,,
1999,1,0,Big 12,1,,,,,,,,,
1999,1,1,Big Ten,0,,,,,,,,,
1999,1,1,Big Ten,0,,,,,,,,,
1999,1,0,Big Ten,0,,,,,,,,,
1999,0,1,Big 12,1,,,,,,,,,
1999,0,0,Pac-10,1,,,,,,,,,
1999,0,0,Pac-10,1,,,,,,,,,
1999,0,0,Ind,1,,,,,,,,,
1999,1,1,SEC,0,,,,,,,,,
1999,0,0,Big East,0,,,,,,,,,
1999,0,1,Big East,0,,,,,,,,,
1999,0,0,Pac-10,0,,,,,,,,,
1998,1,1,Big Ten,1,,,,,,,,,
1998,1,0,Big Ten,0,,,,,,,,,
1998,1,0,Big Ten,1,,,,,,,,,
1998,1,0,Pac-10,1,,,,,,,,,
1998,1,0,Pac-10,1,,,,,,,,,
1998,1,0,CUSA,1,,,,,,,,,
1998,1,0,Big 12,1,,,,,,,,,
1998,1,0,Big East,1,,,,,,,,,
1998,1,0,Ind,1,,,,,,,,,
1998,1,0,SEC,1,,,,,,,,,
1998,1,0,Pac-10,0,,,,,,,,,
1999,1,1,ACC,0,,,,,,,,,
1997,1,0,ACC,1,,,,,,,,,
1997,1,0,Big Ten,0,,,,,,,,,
1997,0,1,Big Ten,0,,,,,,,,,
1997,0,1,Big Ten,0,,,,,,,,,
1997,0,1,Pac-10,0,,,,,,,,,
1997,0,0,Big East,1,,,,,,,,,
1997,0,0,Pac-10,0,,,,,,,,,
1997,0,0,Big East,1,,,,,,,,,
1997,0,0,Ind,1,,,,,,,,,
1997,0,1,SEC,1,,,,,,,,,
1997,0,1,Big East,1,,,,,,,,,
1997,0,0,WAC,1,,,,,,,,,
1997,0,1,SEC,0,,,,,,,,,
1996,1,0,SEC,1,,,,,,,,,
1996,1,0,Big Ten,1,,,,,,,,,
1996,1,1,Big 12,1,,,,,,,,,
1996,1,1,Big Ten,0,,,,,,,,,
1996,1,1,Pac-10,1,,,,,,,,,
1996,1,0,WAC,0,,,,,,,,,
1996,1,0,Ind,1,,,,,,,,,
1996,1,0,Big East,1,,,,,,,,,
1996,1,0,Big East,1,,,,,,,,,
1996,1,0,Big East,1,,,,,,,,,
1996,1,0,Pac-10,0,,,,,,,,,
1995,1,0,Big Ten,0,,,,,,,,,
1995,1,0,Big Ten,1,,,,,,,,,
1995,1,0,SEC,1,,,,,,,,,
1995,1,1,SWC,1,,,,,,,,,
1995,1,1,Big Ten,0,,,,,,,,,
1995,1,1,Pac-10,1,,,,,,,,,
1995,1,0,Ind,1,,,,,,,,,
1995,1,1,Pac-10,1,,,,,,,,,
1995,1,0,Big East,1,,,,,,,,,
1995,1,0,Ind,1,,,,,,,,,
1995,1,0,WAC,1,,,,,,,,,
1996,1,1,ACC,0,,,,,,,,,
1994,1,0,Big Ten,1,,,,,,,,,
1994,1,1,Big Ten,0,,,,,,,,,
1994,1,0,Big Ten,1,,,,,,,,,
1994,1,0,Big Ten,1,,,,,,,,,
1994,1,0,Pac-10,1,,,,,,,,,
1994,1,0,Big East,0,,,,,,,,,
1994,1,0,WAC,0,,,,,,,,,
1994,0,0,Ind,1,,,,,,,,,
1994,0,1,ACC,0,,,,,,,,,
1994,0,0,WAC,1,,,,,,,,,
1994,0,1,Pac-10,1,,,,,,,,,
1995,0,1,Big 8,0,,,,,,,,,
1993,1,0,Big Ten,1,,,,,,,,,
1993,1,1,Big Ten,1,,,,,,,,,
1993,1,0,Big Ten,1,,,,,,,,,
1993,1,0,Big Ten,1,,,,,,,,,
1993,1,0,Pac-10,1,,,,,,,,,
1993,1,0,Big East,1,,,,,,,,,
1993,1,0,WAC,1,,,,,,,,,
1993,1,0,Pac-10,1,,,,,,,,,
1993,1,0,Ind,1,,,,,,,,,
1993,1,1,ACC,1,,,,,,,,,
1993,1,1,Big East,0,,,,,,,,,
1994,1,1,SWC,1,,,,,,,,,
1992,1,0,Big Ten,1,,,,,,,,,
1992,1,1,Big Ten,1,,,,,,,,,
1992,1,0,Big Ten,1,,,,,,,,,
1992,1,0,Big Ten,1,,,,,,,,,
1992,1,1,Pac-10,0,,,,,,,,,
1992,1,0,Big East,1,,,,,,,,,
1992,1,0,WAC,1,,,,,,,,,
1992,1,0,Ind,1,,,,,,,,,
1992,1,1,Big East,1,,,,,,,,,
1992,1,1,Ind,1,,,,,,,,,
1992,1,1,Pac-10,1,,,,,,,,,
1993,1,1,SWC,1,,,,,,,,,
